type	string
mult_constraints_one_reverse_simple	多个国家宣布禁飞波音737 MAX 8飞机，影响的是哪国股价？	select ?x where { ?y <产品> <波音737_MAX_8飞机>. ?y <国家> ?x. }
mult_constraints_one_reverse_simple	300017的员工人数？	select ?x where { ?y <股票代码> <300017>. ?y <员工人数> ?x. }
mult_constraints_one_reverse_simple	股神的主要成就？	select ?x where { ?y <别名> <股神>. ?y <主要成就> ?x. }
mult_constraints_one_reverse_simple	《蒙娜丽莎》的作者皈依的是什么宗教？	select ?x where { ?y <代表作品> <蒙娜丽莎_（列奥纳多·达·芬奇画作）>. ?y <信仰> ?x. }
mult_constraints_one_reverse_simple	唱《钟无艳》的歌手在哪里毕业的？	select ?x where { ?y <代表作品> <钟无艳_（中国古代四大丑女之一）>. ?y <毕业院校> ?x. }
mult_constraints_one_reverse_simple	600570上市时间是什么时候？	select ?x where { ?y <股票代码> <600570>. ?y <上市时间> ?x. }
mult_constraints_one_reverse_simple	600570的发行总股本是多少？	select ?x where { ?y <股票代码> <600570>. ?y <发行总股本> ?x. }
mult_constraints_one_reverse_simple	600570的流通A股是多少？	select ?x where { ?y <股票代码> <600570>. ?y <上市时间> ?x. }
mult_constraints_one_simple	发明显微镜的人是什么职业？	select ?y where { <显微镜> <发明人> ?x. ?x <职业> ?y. }
mult_constraints_one_simple	汉武帝的陵墓在哪里？	select ?y where { <汉武帝_（汉朝皇帝）> <陵墓> ?x. ?x <地理位置> ?y. }
mult_constraints_one_simple	《天工开物》的作者出生在哪个朝代？	select ?y where { <天工开物_（中国古代科学著作）> <作者> ?x. ?x <国籍> ?y. }
mult_constraints_one_simple	犹太人领袖摩西的出生地在哪个大洲？	select ?y where { <摩西_（犹太人的民族领袖）> <出生地> ?x. ?x <所属洲> ?y. }
mult_constraints_one_simple	刚玉的主要成分的化学式是什么？	select ?y where { <刚玉> <主要成份> ?x. ?x <化学式> ?y. }
mult_constraints_one_simple	北大现任校长何时出生？	select ?y where { <北京大学> <现任校长> ?x. ?x <出生日期> ?y. }
mult_constraints_one_simple	苹果公司的现任董事长外文名是什么？	select ?y where { <苹果_（苹果产品公司）> <现任董事长> ?x. ?x <外文名> ?y. }
mult_constraints_one_simple	《路西法效应》的作者从事什么职业？	select ?y where { <路西法效应> <作者> ?x. ?x <职业> ?y. }
mult_constraints_one_simple	味精主要成分的化学式是什么？	select ?y where { <味精> <成分> ?x. ?x <化学式> ?y. }
mult_constraints_one_simple	《额尔古纳河右岸》的作者何时出生？	select ?y where { <额尔古纳河右岸> <作者> ?x. ?x <出生日期> ?y. }
mult_constraints_one_simple	埃菲尔铁塔的设计师是什么时候去世的？	select ?y where { <埃菲尔铁塔_（巴黎城市地标之一）> <设计者> ?x. ?x <逝世日期> ?y. }
mult_constraints_one_simple	织田信长所处的乱世在哪一年结束？	select ?y where { <织田信长_（日本战国三杰之一，安土桃山时代的大名）> <所处时代> ?x. ?x <结束时间> ?y. }
mult_constraints_one_simple	汽车的动力的外文名是什么？	select ?y where { <汽车> <动力> ?x. ?x <外文名> ?y. }
mult_constraints_one_simple	《欢乐颂》作者的老师都有谁？	select ?y where { <欢乐颂_（贝多芬作品）> <谱曲> ?x. ?x <老师> ?y. }
mult_constraints_one_simple	黄帝的妻子有什么成就？	select ?y where { <黄帝> <配偶> ?x. ?x <主要成就> ?y. }
mult_constraints_one_simple	电影阿凡达的出品公司的经营范围有哪些？	select ?y where { <Avatar_（2009年上映詹姆斯·卡梅隆执导美国电影）> <出品公司> ?x. ?x <经营范围> ?y. }
mult_constraints_one_simple	奥地利的首都的城市面积有多大？	select ?y where { <奥地利> <首都> ?x. ?x <城市面积> ?y. }
mult_constraints_one_simple	开发chrome浏览器的公司的CEO是谁？	select ?y where { <Chrome_（谷歌浏览器）> <开发商> ?x. ?x <首席执行官> ?y. }
mult_constraints_one_simple	任天堂的创始人在哪一年去世？	select ?y where { <任天堂> <创始人> ?x. ?x <逝世日期> ?y. }
mult_constraints_one_simple	故宫的建造者的陵墓在哪里？	select ?y where { <故宫_（北京故宫）> <建造者> ?x. ?x <陵墓> ?y. }
mult_constraints_one_simple	X射线具有的性质有由谁提出的？	select ?y where { <X射线> <性质> ?x. ?x <提出者> ?y. }
mult_constraints_one_simple	《未来形而上学导论》的作者于什么事件逝世？	select ?y where { <未来形而上学导论> <作者> ?x. ?x <逝世日期> ?y. }
mult_constraints_one_simple	苹果公司的现任首席执行官出生于什么时间？	select ?y where { <苹果_（苹果产品公司）> <首席执行官> ?x. ?x <出生日期> ?y. }
mult_constraints_one_simple	冯小刚的女儿在哪儿上的大学？	select ?y where { <冯小刚> <女儿> ?x. ?x <毕业院校> ?y. }
mult_constraints_one_simple	舒伯特出生城市有什么著名景点？	select ?y where { <舒伯特> <出生地> ?x. ?x <著名景点> ?y. }
mult_constraints_one_simple	# 邓稼先的母校的校训是？	select ?y where { <邓稼先_（中国科学院院士）> <毕业院校> ?x. ?x <校训> ?y. }
mult_constraints_one_simple	算盘的发明者是什么时代的人？	select ?y where { <算盘> <发明者> ?x. ?x <所处时代> ?y. }
mult_constraints_one_simple	亚马孙河所在的大洲主要使用哪些语言？	select ?y where { <亚马孙河> <所属地区> ?x. ?x <语言> ?y. }
mult_constraints_one_simple	《最后的晚餐》的作者出生地是哪里？	select ?y where { <最后的晚餐_（达·芬奇画作）> <作者> ?x. ?x <出生地> ?y. }
mult_constraints_one_simple	《聊斋志异》的作者被人们称为什么？	select ?y where { <聊斋志异_（蒲松龄著文言短篇小说集《聊斋志异》）> <作者> ?x. ?x <别称> ?y. }
mult_constraints_one_simple	电影阿凡达的出品公司的成立时间？	select ?y where { <Avatar_（2009年上映詹姆斯·卡梅隆执导美国电影）> <出品公司> ?x. ?x <成立时间> ?y. }
mult_constraints_one_simple	冥王星的发现者的外文名是什么？	select ?y where { <冥王星_（太阳系中的一个天体）> <发现者> ?x. ?x <外文名> ?y. }
mult_constraints_one_simple	天蝎座的守护神的居所在哪里？	select ?y where { <天蝎座_（占星学）> <守护神> ?x. ?x <居所> ?y. }
mult_constraints_one_simple	"骐骥一跃不能十步"的作者的知名弟子有哪些？	select ?y where { <骐骥一跃不能十步> <作者> ?x. ?x <著名弟子> ?y. }
mult_constraints_one_simple	《街头霸王》系列游戏的发行公司成立于哪一年？	select ?y where { <街头霸王_（日本CAPCOM公司推出电子游戏系列）> <发行商> ?x. ?x <成立时间> ?y. }
mult_constraints_one_simple	《水浒传》所属文学体裁的三要素是什么？	select ?y where { <水浒传（竖版）> <类型> ?x. ?x <三要素> ?y. }
mult_constraints_one_simple	光合作用发生的部位长度是多少？	select ?y where { <光合作用> <作用部位> ?x. ?x <长径> ?y. }
mult_constraints_one_simple	冥王星的发现者是哪国人？	select ?y where { <冥王星_（太阳系中的一个天体）> <发现者> ?x. ?x <国籍> ?y. }
mult_constraints_one_simple	小说《伊豆的舞女》的作者出生日期是哪年?	select ?y where { <雪国_（日本川端康成著小说）> <作者> ?x. ?x <出生日期> ?y. }
mult_constraints_one_simple	信教的北洋军阀有谁？	select ?x where { <北洋军阀_（民国军阀势力之一）> <主要人物> ?x. ?x <信仰> ?z. }
mult_constraints_one_simple	《额尔古纳河右岸》的作者出生在哪里？	select ?y where { <额尔古纳河右岸> <作者> ?x. ?x <出生地> ?y. }
mult_constraints_one_simple	在金庸小说《天龙八部》中，无崖子的师妹的外孙女是谁？	select ?y where { <无崖子> <师妹> ?x. ?x <外孙女> ?y. }
mult_constraints_one_simple	舒伯特出生城市的车牌代码是什么？	select ?y where { <舒伯特> <出生地> ?x. ?x <车牌代码> ?y. }
mult_constraints_one_simple	纳兰性德的父亲担任过什么官职？	select ?y where { <纳兰性德> <父亲> ?x. ?x <主要职位> ?y. }
mult_constraints_one_simple	苹果公司的现任首席设计师是哪个国家的？	select ?y where { <苹果_（苹果产品公司）> <首席设计师> ?x. ?x <国籍> ?y. }
mult_constraints_one_simple	指环王导演获得过那些奖项？	select ?y where { <指环王_（英美2001-2003年彼得·杰克逊执导系列电影）> <导演> ?x. ?x <主要成就> ?y. }
mult_constraints_one_simple	《指环王》系列电影的导演是哪个国家的？	select ?y where { <指环王_（英美2001-2003年彼得·杰克逊执导系列电影）> <导演> ?x. ?x <国籍> ?y. }
mult_constraints_one_simple	《全唐诗》编于哪个朝代？	select ?y where { <全唐诗> <作者> ?x. ?x <所处时代> ?y. }
mult_constraints_one_simple	清华校长是哪里人？	select ?y where { <清华大学> <现任校长> ?x. ?x <出生地> ?y. }
mult_constraints_one_simple	成龙的儿子有哪些代表作？	select ?y where { <成龙_（中国香港演员、导演）> <儿子> ?x. ?x <代表作品> ?y. }
mult_constraints_one_simple	演员刘烨的儿女是哪国人？	select ?y where { <刘烨_（中国内地男演员）> <子女> ?x. ?x <国籍> ?y. }
mult_constraints_one_simple	天龙八部的作者原名是什么？	select ?y where { <天龙八部_（金庸创作小说）> <作者> ?x. ?x <中文名> ?y. }
mult_constraints_one_simple	宋代词人李清照的丈夫是什么职业？	select ?y where { <李清照_（宋代女词人）> <配偶> ?x. ?x <职业> ?y. }
mult_constraints_one_simple	《EVA》片头曲的原唱是谁？	select ?y where { <eva_（福音战士ACGN系列）> <片头曲> ?x. ?x <歌曲原唱> ?y. }
mult_constraints_one_simple	故宫的建造者还有哪些其他的成就？	select ?y where { <故宫_（北京故宫）> <建造者> ?x. ?x <主要成就> ?y. }
mult_constraints_one_simple	《巴黎圣母院》的作者有什么成就？	select ?y where { <巴黎圣母院_（维克多·雨果长篇小说）> <作者> ?x. ?x <主要成就> ?y. }
mult_constraints_one_simple	舒伯特出生城市有什么国籍组织？	select ?y where { <舒伯特> <出生地> ?x. ?x <国际组织> ?y. }
mult_constraints_one_simple	澳大利亚的首都有多少人口？	select ?y where { <澳大利亚> <首都> ?x. ?x <人口> ?y. }
mult_constraints_one_simple	福尔摩斯的哥哥从事什么职业？	select ?y where { <福尔摩斯_（英国作家阿瑟·柯南·道尔创作人物）> <哥哥> ?x. ?x <职业> ?y. }
mult_constraints_one_simple	克里斯蒂亚诺·罗纳尔多所属的运动队主席是谁？	select ?y where { <克里斯蒂亚诺·罗纳尔多_（葡萄牙足球运动员）> <所属运动队> ?x. ?x <主席> ?y. }
mult_constraints_one_simple	《指环王》系列电影的发行公司后来被哪个公司收购了？	select ?y where { <指环王_（英美2001-2003年彼得·杰克逊执导系列电影）> <发行公司> ?x. ?x <收购公司> ?y. }
mult_constraints_one_simple	北大现任校长的信仰是什么？	select ?y where { <北京大学> <现任校长> ?x. ?x <信仰> ?y. }
mult_constraints_one_simple	《存在与时间》一书的作者是哪个民族的人？	select ?y where { <存在与时间> <作者> ?x. ?x <民族> ?y. }
mult_constraints_one_simple	腾讯的创始人都有哪些主要成就？	select ?y where { <腾讯> <创始人> ?x. ?x <主要成就> ?y. }
mult_constraints_one_simple	毒战导演有哪些代表作品？	select ?y where { <毒战> <导演> ?x. ?x <代表作品> ?y. }
mult_constraints_one_simple	故宫的建造者的逝世地点在哪里？	select ?y where { <故宫_（北京故宫）> <建造者> ?x. ?x <逝世地点> ?y. }
mult_constraints_one_simple	多元组：克苏鲁出自哪位作家创作的小说？	select ?y where { <克苏鲁_（克苏鲁的呼唤神话小说里面的邪灵角色）> <出处> ?x. ?x <作者> ?y. }
mult_constraints_one_simple	北京大学的现任校长是什么时候出生的？	select ?y where { <北京大学> <现任校长> ?x. ?x <出生日期> ?y. }
mult_constraints_one_simple	火腿起源于我国古代的一个朝代，它的选官制度是什么？	select ?y where { <火腿_（腌制或熏制的猪腿）> <起源> ?x. ?x <选官制度> ?y. }
mult_constraints_one_simple	中国首都的电话区号是多少？	select ?y where { <中华人民共和国> <首都> ?x. ?x <电话区号> ?y. }
mult_constraints_one_simple	北大现任校长何时开始工作？	select ?y where { <北京大学> <现任校长> ?x. ?x <工作时间> ?y. }
mult_constraints_one_simple	小苏打片的主要成分的化学式是什么？	select ?y where { <小苏打片> <成份> ?x. ?x <化学式> ?y. }
mult_constraints_one_simple	女王尼托克丽丝统治的王国面积有多大？	select ?y where { <尼托克丽丝> <出生地> ?x. ?x <国土面积> ?y. }
mult_constraints_one_simple	"而立之年"这一说法的提出者原名是什么？	select ?y where { <而立之年_（汉语成语）> <提出人> ?x. ?x <本名> ?y. }
mult_constraints_one_simple	《全职猎人》因为其作者不务正业更新缓慢，请问作者沉迷的爱好是什么？	select ?y where { <全职猎人_（富坚义博创作的漫画）> <作者> ?x. ?x <爱好> ?y. }
mult_constraints_one_simple	张继科参加的比赛项目起源于哪里？	select ?y where { <张继科> <运动项目> ?x. ?x <起源> ?y. }
mult_constraints_one_simple	启蒙运动的代表人物都来自哪些国家？	select ?y where { <启蒙运动> <代表人物> ?x. ?x <国籍> ?y. }
mult_constraints_one_simple	广义信息论的提出者的代表作品有哪些？	select ?y where { <广义信息论> <提出者> ?x. ?x <代表作品> ?y. }
mult_constraints_one_simple	天蝎座的守护神的妻子是谁？	select ?y where { <天蝎座_（占星学）> <守护神> ?x. ?x <配偶> ?y. }
mult_constraints_one_simple	著有长篇小说白鹿原的作者有哪些成就？	select ?y where { <白鹿原_（陈忠实长篇小说）> <作者> ?x. ?x <主要成就> ?y. }
mult_constraints_one_simple	北大现任校长有哪些主要成就？	select ?y where { <北京大学> <现任校长> ?x. ?x <主要成就> ?y. }
mult_constraints_one_simple	《时间简史》的作者是哪个国家的？	select ?y where { <时间简史_（斯蒂芬·霍金著作）> <作者> ?x. ?x <国籍> ?y. }
mult_constraints_one_simple	网络动画秦时明月的原作者的英文名是啥？	select ?y where { <秦时明月_（沈乐平执导TV/网络动画系列）> <原作> ?x. ?x <外文名> ?y. }
mult_constraints_one_simple	凯撒的祖国的官方语言是什么？	select ?y where { <凯撒_（凯撒）> <国籍> ?x. ?x <官方语言> ?y. }
mult_constraints_one_simple	电影朝花夕拾的编剧是哪里人？	select ?y where { <朝花夕拾_（1987年方中信主演香港电影）> <编剧> ?x. ?x <出生地> ?y. }
mult_constraints_one_simple	汽车的动力的工作原理是什么？	select ?y where { <汽车> <动力> ?x. ?x <工作原理> ?y. }
mult_constraints_one_simple	基因载体的组成是什么？	select ?y where { <基因> <载体> ?x. ?x <组成> ?y. }
mult_constraints_one_simple	理查德·道金斯的代表作是什么时候出版的？	select ?y where { <理查德·道金斯> <代表作品> ?x. ?x <出版时间> ?y. }
mult_constraints_one_simple	足球运动员梅西所在的球队现任主教练是谁？	select ?y where { <里奥·梅西_（阿根廷足球运动员）> <所属运动队> ?x. ?x <现任主教练> ?y. }
mult_constraints_one_simple	"超人主义"的提出人的代表作品有哪些？	select ?y where { <超人主义> <提出者> ?x. ?x <代表作品> ?y. }
mult_constraints_one_simple	角色金田一郎所在的漫画是什么时候出版的？	select ?y where { <金田一郎> <登场作品> ?x. ?x <出版时间> ?y. }
mult_constraints_one_simple	中国古代四大发明的提出者毕业于哪个学校？	select ?y where { <四大发明_（中国古代四大发明）> <提出者> ?x. ?x <毕业院校> ?y. }
mult_constraints_one_simple	天蝎座的守护神的外文名是什么？	select ?y where { <天蝎座_（占星学）> <守护神> ?x. ?x <外文名> ?y. }
mult_constraints_one_simple	电影阿凡达的主演们都获得过那些成就？	select ?y where { <Avatar_（2009年上映詹姆斯·卡梅隆执导美国电影）> <主演> ?x. ?x <主要成就> ?y. }
mult_constraints_one_simple	存在主义伦理学的代表人物都有哪些代表作？	select ?y where { <存在主义伦理学> <主要代表人物> ?x. ?x <代表作品> ?y. }
mult_constraints_one_simple	在金庸小说《天龙八部》中，阿紫的师父有什么法宝？	select ?y where { <阿紫_（金庸武侠小说《天龙八部》人物）> <师父> ?x. ?x <星宿三宝> ?y. }
